id	text	class_label
0	Trying to to register but showing : could not get APIKEY. please fix this problem	1
1	I don’t get it it should be data free why should I have too pay for data with this it eats up my data look we are I trouble times I need this to protect me and my family Ann I have too suffer data overages? Rely? Not far this app should be data free !	1
2	Good initiative, haven't noticed any extra battery drain	0
3	Battery drainage and activation error messages	1
4	Good	0
5	Nice	0
6	The date of birth field is not taking the input properly to sign-in the "/" in yyyy/mm/dd don't appear automobile nor they allow typing it.	1
7	I had an older iphone 6 plus but it is not compatible I need to buy an android phone just to have this app. Not all citizens will be happy for this compatibility issue.	1
8	App fails to recognise my phone number to send a pin code	1
9	So helpful for human being.	0
10	Says invalid phone number. WT?	1
11	When will the app be updated with new attestation link ?	1
12	happy but draining battery I'm turning off at home	0
13	Easy get it done	0
14	Beware! Using this app prevents Google Play Store from downloading updates to all apps (there is bug in DownloadManager that causes app update downloads to hang at progress up to 100%). In addition, using this app stops push notifications of other apps such as WhatsApp, Gmail, MyEnv etc.... that are running in the background. I open WhatsApp to find dozens of new messages when I am running TraceTogether. This behaviour has been observed on both my wife's and my phones.	1
15	Was told app was free, if not free ? I don\u2019t want!!	1
16	Awesome	0
17	Good	0
18	Very good Aap	0
19	I get 12% usage of battery over past week.	1
20	Good	0
21	Very helpful. App	0
22	Not opening since last update... Please look into it...	1
23	Because I have the iPhone 6 it is a little slow on getting updates right away. It says I am not allowed to get the app cause my phone doesn’t have the latest update. I really want the appppppp. So now I am sad cause I can’t get the app. Idk if you can change but if you can plz do.	1
24	It work for two days and then it stops by itself. Impossible to open again.	1
25	Excellent	0
26	As per title. It’s not a very smart decision to make to force us to turn on Bluetooth & leaving it on as it drains a lot of my battery especially if I have to leave the app running in the background. Even if we bring a power bank along with us, it will also get drained out. How many power banks do you expect us to bring along? 100?\n\nAs a developer, you can’t just think from your own point of view. You’ll also need to factor in things like user experience, usability, practicality & your app isn’t the only app we are using. I use my phone for work & I can’t afford for my phone to die on me just because your app drains my phone of battery. And these days, we’re trying to travel light, am I supposed to bring along 100 power banks along with me to ensure my phone battery doesn’t die on me when I’m outside? Please take into consideration that we may not be near a power source for us to plug in our phones 24/7 or be rich enough to buy 100 power banks or have enough space in our bags to carry all these power banks or even find it light enough to do so.\n\nLast but not least, if you guys want to force us into using something you guys created, at least please make it a pleasant experience & not make us hate or detest it even more. Wouldn’t it be better to make this app so fantastic & lovable that everyone WANTS to use it & not because we’re being forced to go through a torturous experience?\n\nThank you for reading through this valuable feedback & looking into the matter.	1
27	I already installed to trace together app. But still show not installed and can't go for work on my work permit. All my partanar already show green passed.What wrong me. Let me know.	1
28	Won't accept my phone number\ud83d\ude22	1
29	Good	0
30	Everything works well! We just don't have the reasons for going out, in the exemption certificate, in English anymore, which is... quite problematic. Hope the translation will be back soon!	0
31	As a developer I didn’t find any helpful feature in this app and also I can say that like this app there are so many Covid19 tracing open source app on GitHub any entry level developer can make this type of app within 24 hours. So I think that our government should choose more experienced developer teams who will be creating a unique product not like that open source editing product.	0
32	my app can't connect another device. it's no working.my bluetooth not exchange.	1
33	Starting battery drains fast, after update, it was ok. Then now After the new update, again the battery drains very fast	1
34	Battery eated alot	1
35	Easy to install and works with Bluetooth automatically	0
36	Great initiative, easy to install and register.	0
37	Super	0
38	I am not able to download this app.kindly help me out	1
39	Gd	0
40	So fast gone Charge \ud83e\udd76\ud83e\udd76\ud83e\udd76\ud83d\udea8\ud83d\udea8	1
41	This app is ineffective. It doesn't meet its primary purpose. Uninstalled.	1
42	When you register for the app, the system will send you an OTP. The first OTP regardless if you typed in correctly or not will fail. Only on second OTP the registration will pass. Entering your birth and NRIC issue date, regardless of what year you typed in, it will default to "1970" after you accept it. It is only when you scroll to your birth year or NRIC issue year manually, then it will be correct. Do you guys check your work? This will cause massive data entry errors on your app.	1
43	Cannot install this app. althugh mobile has the required Android 6.0.0 and Bluetooth installed and switched on. After giving all the required details and retrieving the PIN for this app. and enter this into the app., this does not successfully install this app. into my mobile.	1
44	Very helpful	0
45	Brilliantly thought through. Nice App	0
46	Fast and good quality	0
47	Very simple tool that requires lots of acesses Why gallery and call? Can you explain or maybe update and use different methods. Some says app uses new version of Bluetooth that will not consume battery, but that is not true \ud83d\ude05 Very good idea in general. Should be applied and explained better	1
48	Very satisfied	0
49	Cant open the app. It keep closing. Please fix i need to go and buy food, im starving.	1
50	This app is really helpful. It gives us the capability to easily get a comprehensive and precise report regarding covid19 around the globe. The scanning feature is also useful during this time of a pandemic.	0
51	Very easy to use. Signup worked without issues. Hoping enough sign up to make it a workable tracker!	0
52	When in proximity of another phone running the app it causes interference with BT audio devices, causing music or podcasts to pause repeatedly for 2 to 5 seconds. Makes it unusable and force stopping it while listening is the only way to stop the interference.	1
53	Good job	0
54	Great	0
55	After deleting and re-installing, it finally sent me all the otps i requested.	1
56	Great to get whats the current status..	0
57	Has anyone else with a Samsung experienced problems with the app & their phone? Woke up this morning to a notification from the app about an update & then my phone, which is new, went from 100% to 38% & hasn't been the same since even though I've tried different things.	1
58	I can't download it!!!!!	1
59	Very useful.	0
60	It severely screws up all my audio that goes through bluetooth connections. Ear phones, car's head unit, bluetooth speakers, you name it. Using this App on a samsung S10+.	1
61	It shows temporary unavailable everytime when i try to save my details under NRIC.App not allowing to proceed further	1
62	Use full app	0
63	I tried many times to register on this app , but it's always "ERROR" , I'm so sad and frustrated about this app , yes it's so helpful about the information of covid19 , but the problem is , it didn't work for registration , and I'm also Confused why it need also the gallery or the other private app included the terms of this apps, what's the connection ?	1
64	GOOD aplication	0
65	Best app in the world	0
66	Good idea but somehow it will not work if other people doesnt have phone/internet who cant install the app still we could not detect others if they're probable or positive ones.we are not even sure if people using this app is stating their real health condition and the app itself will just rely on people's health update, coz even positive individuals are asymptomatic.notifs cant be removed and its also draining the battery.	0
67	I have installed the latest version 1.8.2. I seriously doubt this "android" version is working properly... one of my family members tested positive, and the results were being uploaded to the website. The family members using iPhones got alert updates ~2 hours later. I -after 18 hours- still no update. Get it fixed guys! Ps.I think there is a mix up of updating frequency between the statistics frame and the 'own' risk frame. The latter seems to update only once a day!!!	0
68	Not helpful	1
69	As far as using it is concerned, a good app. I didn't leave CH during this time so I never experienced unwanted "Turn bluetooth back on" messages. However... I tested positive more than 24 hours ago and have still not got any means of entering this into the app. Helpline cannot help either. Is this not the point of the app? Speed? How about having patients sign a form at the test center allowing the laboratory to enter the status locally? You don't need to be a Swiss engineer to implement this!	0
70	Great app. Hope it will lighten the contact tracer's job. \ud83d\udc4d\ud83c\udffb\u2764	0
71	I have had to uninstall because it uses too much battery power. I will be uninstalling it on my husband phone too as he used to only need to charge his phone every 2-3 days prior to installing this app. But now he needs to charge it twice a day.	1
72	Crash/force close	1
73	In the last few days my battery has been drained by this app . This app is using over 73% of my battery. The phone is over heating as a result.	1
74	Worst app...ever. -should be Bluetooth ON -should be location ON -minimize battery life - privacy not safe.	1
75	Good	0
76	Not only is it a hassle to try to get this poor excuse of an app to work (i spent a good portion of an hour just trying to register as either the code didnt come or there was no blank to enter the code) it also links location settings to bluetooth so that when you turn on the location, bluetooth is also automatically turned on EVEN WHEN NOT USING THE APP! Im not even counting the fact that the app itself has a myriad of bugs but im already at the character limit.	1
77	Good 4	0
78	I was a bit wary using this app for the first time but they have a secure login system where you can use photo ID to grant the app access to you NHS medical records. Once connected it was super easy to order meds, keep everything up to date and view previous medical inputs on your file. Very very handy and I got my meds as swiftly as I would ordering on my Drs website. :)	0
79	My NRIC is not recognised or I'm not sure what's wrong with it.	1
80	Good	0
81	Had this app for about a week.. Phone got almost red hot few days ago, battery died in 30 min after full charge...yesterday morning heard on a radio that this app does that...wiped phone after...now my battery charges only up to 68% . App destroyed my battery.	1
82	Very good & very nice	0
83	Nice ðŸ‘� it is very useful. I recommend going it .It really works	0
